segment,payer_flag,resource,action,spend_context,spend_events,spender_days,amount_spent,amount_spent_free,amount_spent_paid,spend_per_event,amount_per_active_player_day,pct_of_resource_spent
100+,NONPAYER,HC,extra_moves,level_movesplus10,640,524,64000.0,64000.0,0.0,100.0,8.5516,1.76
100+,NONPAYER,HC,extra_moves,level_movesplus15,396,337,39600.0,39600.0,0.0,100.0,5.2913,1.09
100+,NONPAYER,HC,extra_moves,level_movesplus20,344,312,34400.0,34400.0,0.0,100.0,4.5965,0.95
100+,NONPAYER,HC,extra_moves,level_movesplus25,212,190,21200.0,21200.0,0.0,100.0,2.8327,0.58
100+,NONPAYER,HC,extra_moves,level_movesplus30,170,157,17000.0,17000.0,0.0,100.0,2.2715,0.47
100+,NONPAYER,HC,extra_moves,level_movesplus35,106,100,10600.0,10600.0,0.0,100.0,1.4164,0.29
100+,NONPAYER,HC,extra_moves,level_movesplus40,69,66,6900.0,6900.0,0.0,100.0,0.922,0.19
100+,NONPAYER,HC,extra_moves,level_movesplus45,79,77,7900.0,7900.0,0.0,100.0,1.0556,0.22
100+,NONPAYER,HC,extra_moves,level_movesplus5,32947,6493,3294700.0,3294700.0,0.0,100.0,440.2325,90.77
100+,NONPAYER,HC,extra_moves,level_movesplus50,338,292,33800.0,33800.0,0.0,100.0,4.5163,0.93
100+,NONPAYER,HC,level_movesplus5,level_movesplus5,33,9,3300.0,3300.0,0.0,100.0,0.4409,0.09
100+,NONPAYER,HC,purchase_lives,level_lives,593,284,29650.0,25570.0,4080.0,50.0,3.9618,0.82
100+,NONPAYER,HC,purchase_lives,map_lives,218,166,10900.0,8502.0,2398.0,50.0,1.4564,0.3
100+,NONPAYER,HC,purchase_powerup,level_powerup,171,132,32000.0,32000.0,0.0,187.1345,4.2758,0.88
100+,NONPAYER,HC,purchase_pre_level_booster,level_pre_level_booster,9,5,1500.0,1500.0,0.0,166.6667,0.2004,0.04
100+,NONPAYER,HC,purchase_pre_level_booster,map_pre_level_booster,119,13,19200.0,7600.0,11600.0,161.3445,2.5655,0.53
100+,NONPAYER,HC,team_created,(none),20,20,3000.0,2850.0,150.0,150.0,0.4009,0.08
100+,PAYER,HC,extra_moves,level_movesplus10,152,117,15200.0,11896.0,3304.0,100.0,9.9152,1.31
100+,PAYER,HC,extra_moves,level_movesplus15,141,118,14100.0,10985.0,3115.0,100.0,9.1977,1.22
100+,PAYER,HC,extra_moves,level_movesplus20,101,89,10100.0,7757.0,2343.0,100.0,6.5884,0.87
100+,PAYER,HC,extra_moves,level_movesplus25,65,56,6500.0,4696.0,1804.0,100.0,4.2401,0.56
100+,PAYER,HC,extra_moves,level_movesplus30,36,36,3600.0,2502.0,1098.0,100.0,2.3483,0.31
100+,PAYER,HC,extra_moves,level_movesplus35,39,38,3900.0,2482.0,1418.0,100.0,2.544,0.34
100+,PAYER,HC,extra_moves,level_movesplus40,22,22,2200.0,1642.0,558.0,100.0,1.4351,0.19
100+,PAYER,HC,extra_moves,level_movesplus45,12,12,1200.0,967.0,233.0,100.0,0.7828,0.1
100+,PAYER,HC,extra_moves,level_movesplus5,10568,1417,1056800.0,758147.0,298653.0,100.0,689.3673,91.41
100+,PAYER,HC,extra_moves,level_movesplus50,163,124,16300.0,11346.0,4954.0,100.0,10.6327,1.41
100+,PAYER,HC,purchase_lives,level_lives,150,63,7500.0,4192.0,3308.0,50.0,4.8924,0.65
100+,PAYER,HC,purchase_lives,map_lives,82,57,4100.0,1769.0,2331.0,50.0,2.6745,0.35
100+,PAYER,HC,purchase_powerup,level_powerup,62,44,11050.0,7871.0,3179.0,178.2258,7.2081,0.96
100+,PAYER,HC,purchase_pre_level_booster,map_pre_level_booster,20,8,3250.0,1870.0,1380.0,162.5,2.12,0.28
100+,PAYER,HC,team_created,(none),2,2,300.0,300.0,0.0,150.0,0.1957,0.03
