segment,payer_flag,currency,gain_per_active_player,spend_per_active_player,net_per_active_player,resource_earners,gain_per_earner,spend_per_earner,net_per_earner,gain_p25,gain_p50,gain_p75,gain_p90,spend_p25,spend_p50,spend_p75,spend_p90,net_p25,net_p50,net_p75,net_p90,player_days
40-99,NONPAYER,Chuck,14.856,12.155,2.7011,10360,14.9908,12.2653,2.7256,6.2358,11.6158,21.0789,31.2651,1.0,5.6245,18.9558,32.7025,-1.4843,3.4425,7.1992,11.9726,60115
40-99,NONPAYER,Bomb,10.0079,8.0755,1.9325,10295,10.1625,8.2002,1.9623,3.121,6.7885,13.2042,23.3405,0.1858,3.5082,12.2016,22.3569,-1.3111,1.85,4.1679,7.9483,60115
40-99,NONPAYER,UL Bomb,8.2944,5.0498,3.2446,3606,24.046,14.6398,9.4063,0.0,0.0,10.0,27.5809,0.0,0.0,6.5847,16.8809,0.0,0.0,2.487,11.3915,60115
40-99,NONPAYER,UL Chuck,31.4717,17.3615,14.1102,8061,40.8144,22.5154,18.299,7.2475,18.954,36.5597,83.9078,1.5665,11.6035,23.0891,42.9331,0.1996,6.2665,16.0813,40.3377,60115
40-99,NONPAYER,UL Red,54.8312,27.1414,27.6898,8681,66.0298,32.6847,33.3451,10.0,33.5083,85.3538,146.1816,6.3437,18.4609,40.4909,68.044,2.1466,13.7383,41.1475,82.0387,60115
40-99,NONPAYER,Unlimited Lives,1543.5533,0.0209,1543.5324,10426,1547.6986,0.0209,1547.6777,374.1522,924.1703,2014.2241,4033.2167,0.0,0.0,0.0,0.0,376.9071,937.2795,1999.4701,4006.7946,60115
40-99,NONPAYER,SPT,2490.1789,0.0,2490.1789,10229,2544.9536,0.0,2544.9536,442.9103,1414.5132,3386.5369,5609.736,0.0,0.0,0.0,0.0,442.9103,1414.5132,3386.5369,5609.736,60115
40-99,NONPAYER,SPTx2,15.4171,0.0,15.4171,6023,26.7591,0.0,26.7591,0.0,10.0,19.4384,45.3146,0.0,0.0,0.0,0.0,0.0,10.0,19.4384,45.3146,60115
40-99,PAYER,HC,3327.3379,3332.0069,-4.669,1156,3327.3379,3332.0069,-4.669,1036.2662,2285.2242,4079.1259,6816.4836,1057.1429,2339.3849,4078.9614,6837.2727,-132.3511,-18.6681,111.2813,340.3735,10052
40-99,PAYER,Slingshot,25.6194,26.3036,-0.6843,1151,25.7307,26.4179,-0.6872,10.044,20.7051,34.9317,51.2542,10.1786,22.3203,38.0116,52.9118,-4.1008,-1.0897,1.7358,5.0,10052
